#,Header,Format,20020003,,X1,,,X2,,,Y1,,,Y2,
#,Ref,Ch:,Board,0,-,Channel,0,,,,,,,,
#,[Bref][Cref],Tstamp_ps,Energy,:,[Bx][Cx],deltaT_ns,Energy,...,,,,,,,
[00][00],5722532464233,823,:,[00][01],21.266,0,[00][02],58.141,950,[00][03],101.953,809,[00][04],45.578,814
[00][00],5739599319499,233,:,[00][01],21.125,0,[00][02],99.375,447,[00][03],56.75,183,[00][04],94.25,149
[00][00],5759702374530,744,:,[00][01],21.187,208,[00][02],54.969,651,[00][03],55.312,551,[00][04],93.875,472
[00][00],5800708958374,242,:,[00][01],21.437,0,[00][02],78.937,240,[00][03],128,193,[00][04],21.812,186
[00][00],5830129096530,539,:,[00][01],21.125,103,[00][02],47.594,597,[00][03],39.312,550,[00][04],111.594,486
[00][00],5993987127686,366,:,[00][01],20,0,[00][02],15.594,410,[00][03],58,352,[00][04],93.314,301
[00][00],6017778860280,489,:,[00][01],20.812,142,[00][02],95.656,1198,[00][03],132.094,553,[00][04],17,565
[00][00],6094359980295,889,:,[00][01],21.016,400,[00][02],66.172,960,[00][03],26.079,899,[00][04],121.204,807
[00][00],6125496592967,298,:,[00][01],21.219,211,[00][02],27.219,321,[00][03],77.907,258,[00][04],72.033,242
[00][00],6145242168694,1379,:,[00][01],20.64,851,[00][02],93.18,2576,[00][03],132.586,1339,[00][04],16.289,1302
[00][00],6198597796592,250,:,[00][01],21.469,0,[00][02],121.594,680,[00][03],74.282,238,[00][04],75.782,205
[00][00],6239616699561,436,:,[00][01],21.063,0,[00][02],84.625,563,[00][03],62.25,404,[00][04],88,343
[00][00],6266710480311,303,:,[00][01],21.125,0,[00][02],118.875,757,[00][03],37.75,291,[00][04],112.75,245
[00][00],6366665581217,340,:,[00][01],21.032,0,[00][02],96.719,622,[00][03],47.344,333,[00][04],103.032,287
[00][00],6374284120217,227,:,[00][01],21.094,0,[00][02],76.969,242,[00][03],43.783,204,[00][04],106.783,156
[00][00],6377515394334,1036,:,[00][01],19.008,471,[00][02],89.024,1667,[00][03],7.946,971,[00][04],140.79,899
[00][00],6381617845311,263,:,[00][01],21.25,0,[00][02],112.5,721,[00][03],44,270,[00][04],106.689,205
[00][00],6389966661178,1454,:,[00][01],20.789,55,[00][02],132.352,3362,[00][03],91.664,1247,[00][04],55.508,1201
[00][00],6428581362217,616,:,[00][01],21.25,17,[00][02],67.938,550,[00][03],43.938,477,[00][04],106.094,437
[00][00],6502849069467,222,:,[00][01],20.533,134,[00][02],17.907,238,[00][03],42.844,220,[00][04],108.032,175
[00][00],6529801460178,889,:,[00][01],18.946,631,[00][02],60.446,943,[00][03],10.321,867,[00][04],138.571,808
[00][00],6531242743170,1249,:,[00][01],21.094,822,[00][02],71.485,1470,[00][03],98.922,1203,[00][04],48.204,1215
[00][00],6563211020155,318,:,[00][01],19.845,81,[00][02],46.031,359,[00][03],136.094,302,[00][04],14.875,324
[00][00],6614052383327,671,:,[00][01],20.937,431,[00][02],49.047,784,[00][03],131.984,683,[00][04],17.812,707
[00][00],6685979448061,1680,:,[00][01],21.141,1274,[00][02],69.984,1666,[00][03],53.078,1338,[00][04],95.844,1274
[00][00],6719422537155,216,:,[00][01],21.406,0,[00][02],123.906,619,[00][03],58.406,224,[00][04],92.094,200
[00][00],6793680006397,1098,:,[00][01],21.164,1125,[00][02],35.008,1114,[00][03],33.133,1006,[00][04],112.539,956
[00][00],6814351472655,520,:,[00][01],21.5,382,[00][02],21.345,670,[00][03],82.531,579,[00][04],67.156,555
[00][00],6930821969311,1241,:,[00][01],21.297,1406,[00][02],31.703,1274,[00][03],68.689,1073,[00][04],79.313,1097
[00][00],6960817057686,1011,:,[00][01],21.063,81,[00][02],63.188,1131,[00][03],39.156,1028,[00][04],110.813,957
[00][00],7020248093842,564,:,[00][01],21.158,87,[00][02],64.782,580,[00][03],47.25,487,[00][04],103.344,472
[00][00],7033149156874,533,:,[00][01],20.625,0,[00][02],73.156,569,[00][03],134.75,473,[00][04],14.937,515
[00][00],7055184438374,243,:,[00][01],21.187,0,[00][02],45.687,248,[00][03],44.062,236,[00][04],106.875,230
[00][00],7086459879264,795,:,[00][01],20.922,16,[00][02],97.36,1310,[00][03],16.922,756,[00][04],132.736,674
[00][00],7140631280014,427,:,[00][01],21.11,325,[00][02],32.797,445,[00][03],52.86,390,[00][04],97.672,362
[00][00],7181197390366,1615,:,[00][01],21.367,161,[00][02],105.476,2835,[00][03],55.851,1333,[00][04],89.133,1237
[00][00],7193203210967,652,:,[00][01],21.219,0,[00][02],79.782,691,[00][03],74.219,618,[00][04],75.719,582
[00][00],7225061021186,712,:,[00][01],21.188,121,[00][02],81.656,816,[00][03],26.814,666,[00][04],121.25,641
[00][00],7248774545436,592,:,[00][01],21.188,0,[00][02],97.688,1185,[00][03],52.781,503,[00][04],97.656,464
[00][00],7289493840702,638,:,[00][01],21.172,0,[00][02],56.609,705,[00][03],92.922,562,[00][04],53.609,581
[00][00],7328887586311,404,:,[00][01],81.563,309,[00][02],141.75,1037,[00][03],63.563,404,[00][04],86.938,370
[00][00],7401295761092,413,:,[00][01],21.219,0,[00][02],83.469,465,[00][03],42.719,384,[00][04],108.094,339
[00][00],7407678131209,835,:,[00][01],21.211,144,[00][02],119.508,2027,[00][03],46.946,763,[00][04],102.258,716
[00][00],7409868941000,259,:,[00][01],21.061,0,[00][02],114.374,620,[00][03],40.436,237,[00][04],110.061,210
[00][00],7471694790842,498,:,[00][01],21.469,396,[00][02],23,588,[00][03],114.719,476,[00][04],33.907,494
[00][00],7554734021209,1011,:,[00][01],21.274,358,[00][02],94.696,1718,[00][03],44.791,824,[00][04],93.352,755
[00][00],7641716164405,494,:,[00][01],-34.531,0,[00][02],-38.906,554,[00][03],0.906,494,[00][04],97.219,399
[00][00],7698856083655,250,:,[00][01],21.156,0,[00][02],53.219,256,[00][03],62.719,195,[00][04],88.219,180
[00][00],7746669177545,1202,:,[00][01],22.079,292,[00][02],62.735,1247,[00][03],45.766,1085,[00][04],103.797,1023
[00][00],7795816727139,622,:,[00][01],19.766,238,[00][02],12.578,643,[00][03],60.11,586,[00][04],89.203,568
[00][00],7821962758280,344,:,[00][01],21.156,0,[00][02],70.656,334,[00][03],71.781,265,[00][04],78.281,285
[00][00],7841051298030,258,:,[00][01],20.781,0,[00][02],109.094,656,[00][03],132.719,237,[00][04],17.469,243
[00][00],7848740677936,417,:,[00][01],21,0,[00][02],77.064,414,[00][03],59.75,368,[00][04],91.064,328
[00][00],7944100945577,752,:,[00][01],21.172,189,[00][02],57.828,740,[00][03],114.609,644,[00][04],34.515,637
[00][00],8090584466327,649,:,[00][01],19.328,88,[00][02],72.359,651,[00][03],139.234,544,[00][04],11.781,555
[00][00],8254152183374,261,:,[00][01],21.125,11,[00][02],44.187,266,[00][03],114.626,206,[00][04],34.312,211
[00][00],8340896337842,417,:,[00][01],21.594,364,[00][02],25.158,419,[00][03],44.375,341,[00][04],104.907,332
[00][00],8353789900499,255,:,[00][01],21.187,0,[00][02],64.501,281,[00][03],48.937,215,[00][04],101.625,204
[00][00],8463914898092,254,:,[00][01],21.282,0,[00][02],70.908,215,[00][03],65.157,189,[00][04],85.657,172
[00][00],8531742581608,1083,:,[00][01],21.625,213,[00][02],126.797,2381,[00][03],42.953,914,[00][04],94.203,848
